dataset,size_in_MB,eval_time,mse,mae,mase,mape,rmse,nrmse,smape,msis,nd,mwsq,crps
us_births (M),0.0,0.77s,18569150000.0,75900.75,0.48510584,94.00559,136268.67,0.3842894984790061,1.6851945,0.18086526,0.7276587664532638,3453739800.0,870729314829769.6
ett1 (W),0.01,0.28s,755923.3125,342.9079895019531,0.2738148868083954,103.1428680419922,869.4384765625,0.094460304935709,1.4275156259536743,0.0339242033660411,0.412374092665897,174977.84375,788742719.1274706
ett2 (W),0.01,0.29s,14168267.0,1529.9302978515625,0.2831499278545379,103.1278305053711,3764.075927734375,0.0929492278964032,1.5025070905685425,0.0230261739343404,0.5242624465613168,4060390.75,63681374415.23305
saugeenday (M),0.02,0.56s,360.3646545410156,11.900530815124512,1.8721747398376465,0.3798299133777618,18.983272552490234,0.1309890539355766,0.3822072446346283,0.0799184143543243,0.3780238860253221,150.04086303710938,9751.949426476773
us_births (W),0.02,0.75s,8879331.0,2476.028564453125,1.5292190313339231,0.0340057127177715,2979.820556640625,0.13660129069747,0.0346551649272441,0.1548268944025039,0.0342241437212358,123388816.0,625608175326.1519
ett1 (D),0.05,0.6s,72115.7734375,184.72604370117188,2.584463596343994,1.16010844707489,268.5437927246094,0.1185072873783585,0.5655626058578491,0.1256510615348816,0.5092587809366369,-6898.75146484375,28825573.22282556
ett2 (D),0.05,0.52s,387765.34375,460.1440734863281,2.8439860343933105,75350.078125,622.7080688476562,0.1021176211031365,0.4315763115882873,0.0793652832508087,0.3425711255986428,81097.703125,667222233.926787
solar (W),0.06,0.87s,243211.953125,140.67047119140625,0.1039494723081588,168.28846740722656,493.1652526855469,0.0271321008013764,1.5959948301315308,0.0375822409987449,0.1559242251909539,68889.2734375,313517743.6982181
saugeenday (W),0.07,1.9s,1413.5189208984375,18.77586555480957,0.752160370349884,0.5625652074813843,37.59679412841797,0.0965116291642801,0.5715811848640442,0.0891419872641563,0.611226523135817,314.54638671875,31355.627402559603
jena_weather (D),0.08,0.17s,216406.8125,158.7361602783203,1.4110695123672483,1640.08203125,465.1954650878906,0.1400331827079712,1.2437394857406616,0.1674105823040008,1.3376674560340065,-59087.4296875,87550721.91806899
us_births (D),0.13,5.83s,256599.03125,366.220703125,0.3182243406772613,0.0378155298531055,506.5560607910156,0.0820200874305075,0.0375937931239604,0.0830649435520172,0.0377344403028494,125517.234375,2468827337.600878
hierarchical_sales (W),0.15,0.68s,172.6010284423828,2.2923226356506348,0.3291488289833069,1600.3328857421875,13.137770652770996,0.0240618505717078,1.6805850267410278,0.0789058208465576,0.4937229247823241,3.173884153366089,889.1261805051131
bizitobs_l2c (H),0.18,3.22s,236.19967651367188,10.64823055267334,0.6495946049690247,175502.625,15.368788719177246,0.1293306067065899,0.9493139386177064,0.1546213030815124,0.6156449659573296,69.27212524414062,3192.6249713620327
M_DENSE (D),0.21,0.39s,11565.7919921875,49.07347106933594,1.0506058931350708,15768.125,107.54437255859376,0.0308658598693937,0.0997544825077056,0.0235972441732883,0.0857000354899125,-4261.94775390625,6237674.302734707
covid_deaths (D),0.27,1.48s,3808534.25,71.79171752929688,0.3206616640090942,133.26976013183594,1951.546630859375,0.0175656762437778,1.8222180604934688,1.604204177856445,0.4809924540781238,709.318603515625,21421881.951157507
bizitobs_application (10s),0.33,5.05s,14336030.0,1443.1549072265625,0.4737738966941833,0.0729291960597038,3786.294921875,0.0663502367512032,0.0753102004528045,0.0247951094061136,0.0575195930776688,-7014385.5,367766633594.7068
solar (D),0.35,0.85s,150108.46875,168.56527709960938,0.4180575609207153,90.0322494506836,387.4383544921875,0.0868861469356943,1.511743187904358,0.1081578359007835,0.6270861685860822,-61677.10546875,73463620.34841867
hospital (ME),0.35,9.63s,1444.345947265625,2.275298595428467,0.3479009568691253,155.61337280273438,38.00455093383789,0.0168161729051664,1.8580025434494016,1.265772581100464,0.5218510124201764,-22.01920509338379,29251.403845280827
saugeenday (D),0.38,15.61s,1644.2486572265625,20.858020782470703,0.6737617254257202,0.8013893961906433,40.54933547973633,0.0635868497219086,0.6335486173629761,0.1162731721997261,0.692772052551671,231.62429809570312,43203.344686742144
car_parts_with_missing (ME),0.58,13.5s,0.0004000368935521,0.0024594825226813,2.811450242996216,212.77281188964844,0.020000921562314,0.0100004107791031,1.8619308471679688,295.2582702636719,4.193208759020757,0.0001002870267257,3.65184084980213e-05
electricity (W),0.66,4.85s,1141021824.0,2945.174560546875,0.4218693077564239,3608.99609375,33779.015625,0.0258700696664527,1.8567241430282595,0.0892531797289848,0.6328040646388613,4315899.0,1289009397906.8467
hierarchical_sales (D),0.9,3.98s,37.22464370727539,2.452910661697388,0.8289899826049805,32822.65625,6.101200103759766,0.0167156162646674,0.9927151203155518,0.1096980571746826,0.6821998839505022,3.9786980152130127,122.56138584698132
kdd_cup_2018_with_missing (D),1.08,2.0s,39549.703125,31.431442260742188,2.9347970485687256,107.65431213378906,198.8710784912109,0.1128987098281145,1.7379422187805176,0.5802035331726074,3.913061567638313,-159.70419311523438,288219.43507911486
LOOP_SEATTLE (D),1.13,2.17s,5496.12255859375,12.844322204589844,1.1645691394805908,113.16234588623048,74.1358413696289,0.9563215616469374,1.754644751548767,0.2735498249530792,1.7468517590991,-775.4537353515625,362258.9999608363
SZ_TAXI (H),1.14,3.67s,6.786564350128174,1.813169240951538,2.023066282272339,0.9974349737167358,2.6051034927368164,0.04569469967052,0.2922604978084564,0.055411119014024734,0.16838822350561802,0.28393787145614624,69.91879421028993
